Square,Moves,Percentage
d4,167868,3.71
d5,163232,3.61
f6,144787,3.20
e4,141007,3.12
e5,138748,3.07
f3,134426,2.97
c4,122554,2.71
c5,121810,2.69
c3,121057,2.68
c6,117612,2.60
e6,105598,2.34
d7,98559,2.18
e3,97248,2.15
d6,95683,2.12
e7,95048,2.10
f4,93575,2.07
f5,92121,2.04
d3,89382,1.98
d2,87448,1.93
b5,86932,1.92
g5,81080,1.79
b4,80365,1.78
e2,79944,1.77
g4,73481,1.62
g6,73471,1.62
b3,70694,1.56
b6,70139,1.55
g3,68938,1.52
g8,65784,1.45
a4,65210,1.44
a5,63799,1.41
g1,62104,1.37
d8,60154,1.33
d1,59204,1.31
e8,58376,1.29
a6,57341,1.27
h4,56811,1.26
c8,56525,1.25
e1,56186,1.24
h5,56130,1.24
g7,56032,1.24
c2,53265,1.18
c7,53202,1.18
c1,53103,1.17
h6,50849,1.12
g2,49398,1.09
a3,46436,1.03
h3,45927,1.02
b7,45809,1.01
f8,44143,0.98
f7,43338,0.96
f2,41143,0.91
f1,39513,0.87
b2,36159,0.80
b8,34199,0.76
b1,31671,0.70
h7,24541,0.54
a7,23411,0.52
h2,22480,0.50
a2,21242,0.47
a8,21123,0.47
h8,18998,0.42
a1,18624,0.41
h1,17197,0.38
